secid,date,symbol,symbol_flag,exdate,last_date,cp_flag,strike_price,best_bid,best_offer,volume,open_interest,impl_volatility,delta,gamma,vega,theta,optionid,cfadj,ss_flag,root,suffix,cusip,ticker,sic,index_flag,exchange_d,class,issue_type,industry_group,issuer,div_convention,exercise_style,am_set_flag,option_price,K,days_to_expiration,spindx,S,r,q
108105,18/1/07,SXZ.NE,0,17/2/07,20070118,P,1425000,12.4,14,22828,52581,0.099344,-0.442303,0.010046,155.7569,-78.7042,32304270,1,0,SXZ,NE,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,1,13.2,1425,30,1426.37,1426.37,0.05372753,0.01982594
108105,18/1/07,SXZ.NF,0,17/2/07,20070118,P,1430000,14.3,15.9,1763,14491,0.096255,-0.492956,0.010474,157.3477,-74.00855,32309392,1,0,SXZ,NF,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,1,15.1,1430,30,1426.37,1426.37,0.05372753,0.01982594
108105,18/1/07,SXZ.NT,0,17/2/07,20070118,P,1400000,6.3,7.1,6781,93743,0.114434,-0.245712,0.00696,124.2996,-80.43941,32296097,1,0,SXZ,NT,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,1,6.7,1400,30,1426.37,1426.37,0.05372753,0.01982594
108105,18/1/07,SZP.ND,0,17/2/07,20070117,P,1220000,0.05,0.4,0,1583,0.237555,-0.007176,0.000212,7.86755,-11.82175,32353673,1,0,SZP,ND,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,1,0.225,1220,30,1426.37,1426.37,0.05372753,0.01982594
108105,18/1/07,SZP.NE,0,17/2/07,20070117,P,1225000,0.05,0.3,0,7417,0.225314,-0.005998,0.000191,6.713649,-9.559282,32310336,1,0,SZP,NE,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,1,0.175,1225,30,1426.37,1426.37,0.05372753,0.01982594
108105,18/1/07,SZP.NF,0,17/2/07,20070117,P,1230000,0.1,0.35,0,18785,0.226678,-0.007494,0.000231,8.173988,-11.70135,32313534,1,0,SZP,NF,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,1,0.225,1230,30,1426.37,1426.37,0.05372753,0.01982594
108105,18/1/07,SZP.NH,0,17/2/07,20070117,P,1240000,0.15,0.5,0,1376,0.226142,-0.010471,0.00031,10.95809,-15.62679,32310339,1,0,SZP,NH,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,1,0.325,1240,30,1426.37,1426.37,0.05372753,0.01982594
108105,18/1/07,SZP.NJ,0,17/2/07,20070118,P,1250000,0.25,0.45,173,25279,0.217065,-0.011621,0.000354,11.99841,-16.39316,32296149,1,0,SZP,NJ,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,1,0.35,1250,30,1426.37,1426.37,0.05372753,0.01982594
108105,18/1/07,SZP.NK,0,17/2/07,20070117,P,1255000,0.1,0.55,0,601,0.209334,-0.01124,0.000357,11.6552,-15.34016,32310341,1,0,SZP,NK,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,1,0.325,1255,30,1426.37,1426.37,0.05372753,0.01982594
108105,18/1/07,SZP.NL,0,17/2/07,20070117,P,1260000,0.1,0.6,0,1041,0.205793,-0.012203,0.00039,12.5173,-16.17953,32304461,1,0,SZP,NL,64881510,SPX,9999,1,32768,,A,,CBOE S&P 500 INDEX,I,E,1,0.35,1260,30,1426.37,1426.37,0.05372753,0.01982594
